question,answer,chunk_id,topic,dataset_type
Facebook Liveの中で、イザベラ・ボイルストンが明かしたケネディ・センターでの「最悪の思い出」とはどのようなものですか？,ボイルストンが明かした最悪の思い出は、『ラ・バヤデール』の第1幕の最後でフェッテ（回転技）を行っている最中に、舞台上で転んでしまったことです。,cc_news_2per_gemini_chunk_39,個人的なエピソード,cc_news_2per_gemini_chunks
ジョン・ノイマイヤー振付のバレエ『アンナ・カレーニナ』はどのバレエ団が共同制作しており、それぞれの初演スケジュールはどのようになっていますか？,本作はハンブルク・バレエ団、カナダ国立バレエ団、ボリショイ・バレエ団の共同制作です。世界初演は昨年7月にハンブルク・バレエ団で行われ、ボリショイでの初演は3月23日、カナダ国立バレエ団での初演は11月に予定されています。,cc_news_2per_gemini_chunk_41,共同制作と初演日程,cc_news_2per_gemini_chunks
ボリショイ公演の『アンナ・カレーニナ』で主役を演じるダンサーと、振付家ジョン・ノイマイヤーがこの作品を着想したきっかけについて教えてください。,主役はボリショイのスターであるスヴェトラーナ・ザハロワが演じます。ノイマイヤーがこのバレエの着想を得た最初のインスピレーションは、彼らが『椿姫』で共に仕事をしていた際に、ザハロワ自身から得たものです。,cc_news_2per_gemini_chunk_41,主役と創作のインスピレーション,cc_news_2per_gemini_chunks
リッチモンド・バレエが開催する「New Works Festival」の概要と、その創作プロセスにおけるユニークな特徴について教えてください。,「New Works Festival」は、同バレエ団と初めて協働する4人の振付家による作品を紹介する公演です。最大の特徴は、各振付家がダンサーとわずか25時間という制限時間の中で、10〜15分のバレエ作品を創作しなければならないというルールが課されている点です。,cc_news_2per_gemini_chunk_42,New Works Festival,cc_news_2per_gemini_chunks
バレエ・アリゾナの公演「Today's Masters 2018」のプログラム内容と、作品『Pelvis』の特徴は何ですか？,この公演は、アレハンドロ・セルードによるカンパニー初演、ナヨン・イオヴィーノと芸術監督イブ・アンダーセンによる世界初演で構成されています。アンダーセンの作品『Pelvis』は、1950年代のダンスの動きや衣装を取り入れ、エルヴィス・プレスリーを連想させる要素が含まれているのが特徴です。,cc_news_2per_gemini_chunk_42,Today's Masters 2018,cc_news_2per_gemini_chunks
サンフランシスコ・バレエが開催するジェローム・ロビンズ追悼公演の日程と、その公演の概要について教えてください。,公演は3月20日から25日まで開催されます。この公演は振付師ジェローム・ロビンズのバレエとブロードウェイでの経歴を称えるもので、サンフランシスコ・バレエは公演の魅力を「神秘的、ロマンチック、機知に富んだ、しびれるような」と表現しています。,cc_news_2per_gemini_chunk_43,公演日程と概要,cc_news_2per_gemini_chunks
サンフランシスコ・バレエのジェローム・ロビンズ追悼公演で上演される、4つの具体的な作品名は何ですか？,上演される4つの作品は、『Fancy Free』、『Opus 19/The Dreamer』、『The Cage』、および『Other Dances』です。これらの作品を通して、ロビンズのバレエとブロードウェイにおける輝かしい経歴を称えます。,cc_news_2per_gemini_chunk_43,上演作品名,cc_news_2per_gemini_chunks
グッゲンハイム美術館で開催される「Reid and Harriet Designs」のイベントは、いつ、どのようなプログラムの一環として行われますか？,このイベントは3月25日から27日まで開催され、グッゲンハイムの「Works & Process」シリーズの一環として行われます。衣装デザインデュオのリード・バーテルムとハリエット・ユンがステージに登場します。,cc_news_2per_gemini_chunk_44,Guggenheim event,cc_news_2per_gemini_chunks
衣装デザインデュオであるリード・バーテルムとハリエット・ユンの、これまでの主な活動や過去の作品について教えてください。,彼らはデザインとダンスを創造的に融合させることで知られています。過去の作品には、昨年の夏に制作したジャスティン・ペックの衣装に基づく水着ラインや、11月に発表したデザイン主導の「くるみ割り人形」などがあります。,cc_news_2per_gemini_chunk_44,Past works,cc_news_2per_gemini_chunks
今回のグッゲンハイムでのショーにおいて、どのような振付家やダンサーがコラボレーターや出演者として参加していますか？,振付家ではラル・ルボヴィッチやパム・タノウィッツらと協力して衣装をフィーチャーした短編作品を制作しました。また、ニューヨーク・シティ・バレエ団のプリンシパルであるラッセル・ジャンゼンを含むダンサーたちが、動くモデルとして出演します。,cc_news_2per_gemini_chunk_44,Collaborators and performers,cc_news_2per_gemini_chunks
